Number,ITEM,Name,Name,Name,Name,Name,Function,Function,Construction Year,Construction Year,Construction Year,Construction Year,Associated Figure,Associated Figure,Associated Figure,,,Location,Location,Location,Location,Location,
Monument ID,Name_Ministry of Antiquity_en,Ministry of Antiquity_ar,Ministry of Antiquity_variant,D. Abouseif_en,Napoleon's Map_ar,Napoleon's Map_fr,Facility Number,Facility Name,Ministry of Antiquity_AH,Ministry of Antiquity_AD,Abouseif,Fukami,Arabic,Variant,English,Latitude,Longtitude,Ministry of Antiquities,Nicholas Warner,Napoleon's Map_Region,Napoleon's Map_Area,Napoleon's Map_Monument ID,URL
25,"Bardak/Umm al-Ghulam, Inal",جامع ابن برد بك,Bardbak (Umm al-Ghulām or Īnāl),"Amir Taqtabay ibn Bardbak, built over Fatima(Mother of Husayn) and another female saints (in 1254 by Amir Bilbak al-Khazindar)",جامع الدردبكيه,Gâma’ el-Derdebakyeh ,c,mosque,about 865,1460,1475,1460,ابن برد بك,Ibn Bardbak,Ibn Bardbak,30.048145,31.264362,4H,12,VII,I-4,88,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument25
25,"Bardak/Umm al-Ghulam, Inal",جامع ابن برد بك,Bardbak (Umm al-Ghulām or Īnāl),"Amir Taqtabay ibn Bardbak, built over Fatima(Mother of Husayn) and another female saints (in 1254 by Amir Bilbak al-Khazindar)",جامع الدردبكيه,Gâma’ el-Derdebakyeh ,d,sabil kuttab,about 865,1460,1475,1460,ابن برد بك,Ibn Bardbak,Ibn Bardbak,30.048165,31.264596,4H,12,VII,I-4,88',https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument25
26,Mogholtay al-Gamali,مدرسة مغلطاى الجمالى,Mogholṭāy al-Gamālī,Amir Mughaltay for Hanafi School,جامع الجمالي,Gâma’ el-Gamâly ,a,mausoleum,730,1329-30,1329-30,1329,مغلطاى الجمالى,Mughulṭāy al-Jamālī,Mughultay al-Jamali,30.049381,31.264696,4H,12,VII,H-4,109,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument26
26,Mogholtay al-Gamali,مدرسة مغلطاى الجمالى,Mogholṭāy al-Gamālī,Amir Mughaltay for Hanafi School,جامع الجمالي,Gâma’ el-Gamâly ,b,mosque,730,1329-30,N/A,1329,مغلطاى الجمالى,Mughulṭāy al-Jamālī,Mughultay al-Jamali,30.049381,31.264607,4H,12,VII,H-4,109,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument26
27,al-Bazdar,سبيل البازدار,al-Bazdār,"al-Bazdar, moved from Midan al-Husayn in 1935/6",N/A,N/A,a,sabil,middle 11th cent.,17th cent.,N/A,1640,البازدار,al-Bāzdār,al-Bazdar,30.048386,31.264129,4H,12,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument27
27,al-Bazdar,سبيل البازدار,al-Bazdār,"al-Bazdar, moved from Midan al-Husayn in 1935/6",N/A,N/A,b,mosque,middle 11th cent.,17th cent.,N/A,1640,البازدار,al-Bāzdār,al-Bazdar,N/A,N/A,4H,12,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument27
28,al-Husayn/Bab al-Akhdar,بوابة المشهد الحسينى,al-Ḥusaynī (Bāb al-Akhḍar),Fatimid Khalif al-Fa'iz and Sultan Salif Negm al-Din al-Ayyub,باب الحسنين,Bâb el-Hasaneyn ,a,bab,549-634,1154-1236,1154,1154,الخليفة الفائز بنصر الله / السلطان الصالح نجم الدين ايوب,al-Khalīfa al-Fā'iz bi-Naṣr Allāh / al-Sulṭān al-Ṣāliḥ Najm al-Dīn Ayyūb,al-Khalifa al-Faiz bi-Nasr Allah / al-Sultan al-Salih Najm al-Din Ayyub,30.047592,31.263275,4H,12,VII,I-5,82,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument28
28,al-Husayn/Bab al-Akhdar,بوابة المشهد الحسينى,al-Ḥusaynī (Bāb al-Akhḍar),Abd al-Rahman Katkhuda,جامع الحسنين,Gâma’ el-Hasaneyn ,b,mausoleum,549-634,1154-1236,1154,1154,عبد الرحمن كتخدا,‘Abd al-Raḥmān Katkhudā,Abd al-Rahman Katkhuda,30.047648,31.263178,4H,12,VII,I-5,212,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument28
28,al-Husayn/Bab al-Akhdar,بوابة المشهد الحسينى,al-Ḥusaynī (Bāb al-Akhḍar),Fatimid Khalif al-Fa'iz,جامع الحسنين,Gâma’ el-Hasaneyn ,c,mausoleum,549-634,1154-1236,N/A,1725,الخليفة الفائز بنصر الله,al-Khalīfa al-Fā'iz bi-Naṣr Allāh ,al-Khalifa al-Faiz bi-Nasr Allah,30.047648,31.263178,4H,12,VII,I-5,212,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument28
28,al-Husayn/Bab al-Akhdar,بوابة المشهد الحسينى,al-Ḥusaynī (Bāb al-Akhḍar),Sultan Salif Negm al-Din al-Ayyub,جامع الحسنين,Gâma’ el-Hasaneyn ,d,minaret,549-634,1154-1236,N/A,1154,السلطان الصالح نجم الدين ايوب,al-Sulṭān al-Ṣāliḥ Najm al-Dīn Ayyūb,al-Sultan al-Salih Najm al-Din Ayyub,30.047534,31.263237,4H,12,VII,I-5,212,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument28
28,al-Husayn/Bab al-Akhdar,بوابة المشهد الحسينى,al-Ḥusaynī (Bāb al-Akhḍar),Khedive Isma'il,جامع الحسنين,Gâma’ el-Hasaneyn ,e,mosque,549-634,1154-1236,N/A,19c.,الخديوي إسماعيل ,Khedive Ismā'īl,Khedive Ismail,30.047893,31.263178,4H,12,VII,I-5,212,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument28
28,al-Husayn/Bab al-Akhdar,بوابة المشهد الحسينى,al-Ḥusaynī (Bāb al-Akhḍar),Khedive Isma'il,جامع الحسنين,Gâma’ el-Hasaneyn ,f,minaret,549-634,1154-1236,N/A,19c.,الخديوي إسماعيل ,Khedive Ismā'īl,Khedive Ismail,30.047546,31.262738,4H,12,VII,I-5,212,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument28
29,Marzuq al-Ahmadi,جامع مرزوق الاحمدى,Marzūq al-Aḥmadī,N/A,زاوية الشيخ حسين,Zâouyet el-cheykh Hoseyn,a,minaret,11th cent.,17 th cent.,N/A,1633,مرزوق الاحمدى,Marzūq al-Aḥmadī,Marzuq al-Ahmadi,30.050076,31.263361,4H,12,VII,H-5,258,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument29
29,Marzuq al-Ahmadi,جامع مرزوق الاحمدى,Marzūq al-Aḥmadī,N/A,زاوية الشيخ حسين,Zâouyet el-cheykh Hoseyn,b,mosque,11th cent.,17 th cent.,N/A,1633,مرزوق الاحمدى,Marzūq al-Aḥmadī,Marzuq al-Ahmadi,30.050162,31.263476,4H,12,VII,H-5,258,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument29
29,Marzuq al-Ahmadi,جامع مرزوق الاحمدى,Marzūq al-Aḥmadī,N/A,زاوية الشيخ حسين,Zâouyet el-cheykh Hoseyn,c,mausoleum,11th cent.,17 th cent.,N/A,1633,مرزوق الاحمدى,Marzūq al-Aḥmadī,Marzuq al-Ahmadi,30.05007,31.263445,4H,12,VII,H-5,258,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument29
30,Mahmud Muharram,جامع محمود محرم,Maḥmūd Muḥarram,"Mahmud Muharram, merchant in 18c.",جامع محمود محرم,Gâma’ Mahmoud Maharram ,a,minaret,1207,1792,N/A,1792,محمود محرم,Maḥmūd Muḥarram,Mahmud Muharram,30.050441,31.263293,4H,12,VII,G-5,259,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument30
