Number,ITEM,Name,Name,Name,Name,Name,Function,Function,Construction Year,Construction Year,Construction Year,Construction Year,Associated Figure,Associated Figure,Associated Figure,,,Location,Location,Location,Location,Location,
Monument ID,Name_Ministry of Antiquity_en,Ministry of Antiquity_ar,Ministry of Antiquity_variant,D. Abouseif_en,Napoleon's Map_ar,Napoleon's Map_fr,Facility Number,Facility Name,Ministry of Antiquity_AH,Ministry of Antiquity_AD,Abouseif,Fukami,Arabic,Variant,English,Latitude,Longtitude,Ministry of Antiquities,Nicholas Warner,Napoleon's Map_Region,Napoleon's Map_Area,Napoleon's Map_Monument ID,URL
303,Ya'qub Shah al-Mihmandar,قبة يعقوب شاه المهمندار,Yaʻqūb Shāh al-Mihmandār,"Ya'qub Shah al-Mihmandar, amir of Sultan Qaytbay",N/A,N/A,a,mausoleum,901,1495-96,1495-6,1495,يعقوب شاه المهمندار,Yaʻqūb Shāh al-Mihmandār,Yaqub Shah al-Mihmandar,30.028218,31.264847,9H,2,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument303
303,Ya'qub Shah al-Mihmandar,قبة يعقوب شاه المهمندار,Yaʻqūb Shāh al-Mihmandār,"Ya'qub Shah al-Mihmandar, amir of Sultan Qaytbay",N/A,N/A,b,sabil,901,1495-96,1495-6,1495,يعقوب شاه المهمندار,Yaʻqūb Shāh al-Mihmandār,Yaqub Shah al-Mihmandar,30.028284,31.26487,9H,2,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument303
304,al-Guyushi,مسجد ومرقب الجيوشى ( بدر الجمالى ),al-Guyūshī,N/A,N/A,N/A,a,minaret,478,1085,1085,1085,الجيوشى ( بدر الجمالى ),al-Juyūshī (Badr al-Jamālī),al-Juyushi (Badr al-Jamali),30.022184,31.26825,10J,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument304
304,al-Guyushi,مسجد ومرقب الجيوشى ( بدر الجمالى ),al-Guyūshī,N/A,N/A,N/A,b,mosque,478,1085,1085,1085,الجيوشى ( بدر الجمالى ),al-Juyūshī (Badr al-Jamālī),al-Juyushi (Badr al-Jamali),30.022147,31.268303,10J,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument304
305,Salah ad-Din yusuf,بئر صلاح الدين يوسف,Ṣalāḥ ad-Dīn Yūsuf,N/A,بير يوسف,"Byr Yousef, puits de Joseph(3)",a,fort,572-89,1176-93,1176-1207,1176,السلطان صلاح الدين يوسف الآييوبي,al-Sulṭān Ṣalāḥ al-Dīn Yūsuf al-Ayyūbī,al-Sultan Salah al-Din Yusuf al-Ayyubi,30.028562,31.260904,9H,9,Citadelle,T-3,51,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument305
305,Salah ad-Din yusuf,بئر صلاح الدين يوسف,Ṣalāḥ ad-Dīn Yūsuf,N/A,بير يوسف,"Byr Yousef, puits de Joseph(3)",b,fort,572-89,1176-93,1176-1207,1176,السلطان صلاح الدين يوسف الآييوبي,al-Sulṭān Ṣalāḥ al-Dīn Yūsuf al-Ayyūbī,al-Sultan Salah al-Din Yusuf al-Ayyubi,30.028711,31.260872,9H,9,Citadelle,T-3,51,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument305
306,"Qanater Maiya Ibn Tulun, Aqueduct of Ibn Tulun",قناطر مياه ابن طولون,Qanātir Miyāh Ibn Ṭūlūn,N/A,N/A,N/A,,aqueduct,N/A,N/A,876,850,ابن طولون,Ibn Ṭūlūn,Ibn Tulun,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument306
307,az-Zafar,برج الظفر,aẓ-Ẓafar,N/A,برج الزفر,Bourg el-Zefer,a,burj,566-72,1171-76,1176-1207,1171,السلطان صلاح الدين يوسف الآييوبي,al-Sulṭān Ṣalāḥ al-Dīn Yūsuf al-Ayyūbī,al-Sultan Salah al-Din Yusuf al-Ayyubi,30.051822,31.270747,3K,Multi.,VII,F-3,45,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument307
307,Wall of Salah al-Din,برج الظفر,N/A,N/A,برج الزفر,Bourg el-Zefer,b,fort,566-72,1171-76,1176-1207,1171,الظفر,al-Ẓafar,al-Zafar,N/A,N/A,3K,Multi.,VII,F-3,45,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument307
308,Sultan Mahmud,تكية وسبيل السلطان محمود,Sultān Maḥmūd,"Beshir Agah Dar Sa'ada, black euhnuch",تكية الحبانيه,Tekyet el-Habbânyeh,a,mosque,1164,1750,N/A,1750,السلطان محمود,al-Sulṭān Maḥmūd,al-Sultan Mahmud,30.039104,31.250334,6F,29,III,P-9,24,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument308
308,Sultan Mahmud,تكية وسبيل السلطان محمود,Sultān Maḥmūd,"Beshir Agah Dar Sa'ada, black euhnuch",سبيل سلطان محمود,Sibyl soultân Mahmoud,b,sabil kuttab,1164,1750,N/A,1750,السلطان محمود,al-Sulṭān Maḥmūd,al-Sultan Mahmud,30.038889,30.038889,6F,29,III,P-9,24,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument308
309,Beshir Agah Dar Sa'ada,سبيل بشير اغا,Beshīr Āghā Dār Saʻāda,"Beshir Agah Dar Sa'ada, black euhnuch",سبيل الحبانيه,Sibyl el-Habbânyeh,,sabil kuttab,1131,1718,N/A,1718,بشير اغا,Bashīr Aghā,Bashir Agha,30.038778,31.250048,6F,29,III,P-10,21,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument309
310,Ibrahim al-Ansari,قبة أقسنقر,Ibrāhīm al-Anṣārī,N/A,زاوية السيد ابراهيم الصارم ,Zâouyet el-Seyd Ibrâhym el-Sârem,,mausoleum,771,1370,1370-1,1370,أقسنقر,Āqsunqur,Aqsunqur,30.039151,31.249321,6E,N/A,III,P-10,75,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument310
311,Kulsun,سبيل وقف كلسن,Kulsūn,N/A,N/A,N/A,,sabil,11th cent.,17th cent.,N/A,1686,كلسن,Kulsun,Kulsun,30.039155,31.249472,6E,29,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument311
312,Sa'd ad-Din ibn Ghurab/Sa'ad al-Din Ibrahim al-Arabi,خانقاه سعد الدين بن غراب,Saʻd ad-Dīn ibn Ghurāb,N/A,زاوية الغربه,Zâouyet el-Ghourabeh,a,mausoleum,803-8,1400-6,1400-6,1400,سعد الدين بن غراب,Saʻd al-Dīn bn Ghrāb,Sad al-Din bn Ghurab,30.036776,31.24902,7E,29,III,R-10,53,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument312
312,Sa'd ad-Din ibn Ghurab/Sa'ad al-Din Ibrahim al-Arabi,خانقاه سعد الدين بن غراب,Saʻd ad-Dīn ibn Ghurāb,N/A,زاوية الغربه,Zâouyet el-Ghourabeh,b,kuttab,803-8,1400-6,1400-6,1400,سعد الدين بن غراب,Saʻd al-Dīn bn Ghrāb,Sad al-Din bn Ghurab,30.036711,31.249029,7E,29,III,R-10,53,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument312
313,Sitt Saliha,سبيل الست صالحه,Sitt Ṣāliḥa,N/A,N/A,Ecole,,sabil kuttab,1154,1741,N/A,1741,الست صالحه,al-Sitt Ṣāliḥa,al-Sitt Saliha,30.03192,31.244236,8E,N/A,III,U-11,101',https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument313
314,Sultan Mustafa,سبيل وكتاب السلطان مصطفى,Sultān Muṣṭafā ,"Sultan Mustafa(1757-74, Ottoman Empire)",سبيل أبو قفه,Sibyl Abou Qouffeh,,sabil kuttab,1173,1759,N/A,1759,السلطان مصطفى,al-Sulṭān Muṣṭafā,al-Sultan Mustafa,30.032351,31.242321,8D,N/A,III,U-12,168,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument314
315,al-Hasawati,قبة الحصواتى,al-Ḥaṣāwātī,N/A,N/A,N/A,,mausoleum,middle 6th cent.,12th cent.,1150,1150,الحصواتى,al-Ḥaṣawātī,al-Hasawati,30.011202,31.257534,12G,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument315
316,Fakhr al-Farissi,تربة الفخر الفارسى,Fakhr al-Fārissī,N/A,N/A,N/A,,mausoleum,622,1225,N/A,1225,الفخر الفارسى,al-Fakhr al-Fārisī,al-Fakhr al-Farisi,30.006947,31.259083,13G,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument316
317,Muhammad Jaqmaq,منارة مسجد محمد سعيد جقمق,Muḥammad Jaqmaq,"Sultan Gaqmaq(1438-53), mamluk of Sultan Farag, Sultan al-Mu'ayyad and Sultan Ashraf Barsbay",N/A,N/A,a,minaret,N/A,N/A,N/A,1453,محمد سعيد جقمق,Muḥammad Saʻīd Jaqmaq,Muhammad Said Jaqmaq,30.029855,31.264331,N/A,2,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument317
317,Muhammad Jaqmaq,منارة مسجد محمد سعيد جقمق,Muḥammad Jaqmaq,"Sultan Gaqmaq(1438-53), mamluk of Sultan Farag, Sultan al-Mu'ayyad and Sultan Ashraf Barsbay",N/A,N/A,b,mosque,N/A,N/A,N/A,1453,محمد سعيد جقمق,Muḥammad Saʻīd Jaqmaq,Muhammad Said Jaqmaq,N/A,N/A,N/A,2,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument317
318,as-Suwaydi,مسجد السويدى,as-Suwaydī,Badr al-Din Hassan Suwayd,N/A,N/A,a,mosque,about 834,1430,1430,1430,السويدى,al-Suwaydī,al-Suwaydi,30.007889,31.228025,13A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument318
318,as-Suwaydi,مسجد السويدى,as-Suwaydī,Badr al-Din Hassan Suwayd,N/A,N/A,b,sabil kuttab,about 834,1430,Ma,1430,السويدى,al-Suwaydī,al-Suwaydi,30.00792,31.228104,13A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument318
318,as-Suwaydi,مسجد السويدى,as-Suwaydī,Badr al-Din Hassan Suwayd,N/A,N/A,c,minaret,about 834,1430,1430,1430,السويدى,al-Suwaydī,al-Suwaydi,30.007794,31.228076,13A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument318
319,Amr ibn al-'As,جامع عمرو بن العاص,ʻAmr ibn al-ʻĀṣī ,Murad Bey,N/A,N/A,a,minaret,21/703/1212,641/1303/1797,N/A,Ottoman,عمرو بن العاص,‘Amr bn al-‘Ās,Amr bn al-As,30.009403,31.233267,13B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument319
319,Amr ibn al-'As,جامع عمرو بن العاص,ʻAmr ibn al-ʻĀṣī ,Murad Bey,N/A,N/A,b,minaret,21/703/1212,641/1303/1797,N/A,Ottoman,عمرو بن العاص,‘Amr bn al-‘Ās,Amr bn al-As,30.010275,31.232494,13B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument319
319,Amr ibn al-'As,جامع عمرو بن العاص,ʻAmr ibn al-ʻĀṣī ,Amr ibn al-'As,N/A,N/A,c,mosque,21/703/1212,641/1303/1797,641-2,641,عمرو بن العاص,‘Amr bn al-‘Ās,Amr bn al-As,30.010081,31.233151,13B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument319
320,al-Athar,رباط الآثار,al-Āthār,Muhammad ibn al-Saheb Fakhr al-Din,N/A,N/A,,mosque,1073-1224,1662-1809,N/A,1662,تاج الدين محمد بن الصاحب فخر الدين محمد,Taj al-Dīn Muḥammad b. al-Ṣāḥib Fakhr al-Dīn Muḥammad,Taj al-Din Muhammad b. al-Sahib Fakhr al-Din Muhammad,29.989819,31.232022,14A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument320
321,al-Kiridliya,منزل وسبيل الكريدلية,al-Kirīdlīya,N/A,N/A,N/A,a,sabil,1041,1631,"1540, 1631",1631,عبد القادر الحداد,Abd al-Qåadir al-Ḥaddād,Abd al-Qadir al-Haddad,30.028451,31.250767,9F,24,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument321
321,al-Kiridliya,منزل وسبيل الكريدلية,al-Kirīdlīya,N/A,N/A,N/A,b,residence,1041,1631,"1540, 1631",1631,عبد القادر الحداد,Abd al-Qåadir al-Ḥaddād,Abd al-Qadir al-Haddad,30.028588,31.250754,9F,24,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument321
321,al-Kiridliya,منزل وسبيل الكريدلية,al-Kirīdlīya,N/A,N/A,N/A,c,mausoleum,1041,1631,"1540, 1631",1631,عبد القادر الحداد,Abd al-Qåadir al-Ḥaddād,Abd al-Qadir al-Haddad,30.028562,31.250828,9F,24,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument321
322,Qansuh al-Ghuri,بقايا قصر الغورى,Qānṣūh al-Ghūrī,Sultan al-Ghuri,N/A,N/A,,residence,906-22,1501-16,N/A,1501,السلطان قانصوه الغورى,al-Suṭān Qānṣūh al-Ghawrī,al-Sultan Qansuh al-Ghawri,30.030213,31.250899,8F,24,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument322
323,Shaykhu,حوض الامير شيخو,Shaykhū,Bilal Agha,كتاب,Ecole,,hawd,11th cent.,17th cent.,N/A,1650,الامير شيخو,al-Amīr Shaykhū,al-Amir Shaykhu,30.030563,31.253464,8F,23,II,T-7←U-5?,219,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument323
324,Qaytbay,سبيل السلطان قايتباى ( الخليفة ),Qāytbāy,Sultan Qaytbay,سبيل قايد بيه,Sibyl Qâyd bey,,sabil kuttab,884,1479,1479,1479,السلطان قايتباى ( الخليفة ),al-Sulṭān Qāytbāy,al-Sultan Qaytbay,30.030759,31.254809,8G,16,II,T-6,124,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument324
325,Darb al-Labban,بوابة درب اللبان,al-Labbān,N/A,N/A,N/A,,bab,8th cent.,14th cent.,N/A,1350,N/A,N/A,N/A,30.032502,31.258547,8G,16,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument325
326,Taqi al-Din Ragab al-Bistami,N/A,Taqīy ad-Dīn al-Bistāmī,"reign of Sultan Gaqmaq, founded by Sultan al-Nasir",N/A,N/A,a,mosque,847,1443,1443,1443,السلطان الظاهر جقمق عبد الله,al-Sulṭān al-Ẓāhir Jaqmaq 'Abd Allāh,al-Sultan al-Zahir Jaqmaq Abd Allah,30.032626,31.258842,8G,"9, 16",N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument326
326,Taqiya ad-Din al Bistami,N/A,Taqīy ad-Dīn al-Bistāmī,"reign of Sultan Gaqmaq, founded by Sultan al-Nasir",N/A,N/A,b,mosque,847,1443,1443,1443,السلطان الظاهر جقمق عبد الله,al-Sulṭān al-Ẓāhir Jaqmaq 'Abd Allāh,al-Sultan al-Zahir Jaqmaq Abd Allah,30.03257,31.258686,8G,"9, 16",N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument326
327,Sandal al-Mangaki,البوابة الشرقية لتكية الميرغنى,Ṣandal al-Mangakī,"Sandal al-Mangaki, Greek eunuch, treasurer of Sultan Barquq",N/A,N/A,a,mausoleum,end 8th cent.,14th cent.,1399,1350,الميرغنى,al-Mīrghanī,al-Mirghani,30.033709,31.261509,7H,8,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument327
327,Sandal al-Mangaki,البوابة الشرقية لتكية الميرغنى,Ṣandal al-Mangakī,N/A,N/A,N/A,b,mosque,end 8th cent.,14th cent.,1399,1350,الميرغنى,al-Mīrghanī,al-Mirghani,30.033593,31.261635,7H,8,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument327
328,Shahim Agha Ahmad,سبيل شاهين احمد اغا,Shāhīn Āghā Aḥmad,Mawlana Shaheen Ahmad Agha,المغربلين,El-Mogharbelyn,a,sabil kuttab,1086,1675,N/A,1675,شاهين احمد اغا,Shāhīn Aḥmad Aghā,Shahin Ahmad Agha,30.039675,31.254833,6F,21,I,O-7,115,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument328
328,Shahim Agha Ahmad,سبيل شاهين احمد اغا,Shāhīn Āghā Aḥmad,Mawlana Shaheen Ahmad Agha,المغربلين,El-Mogharbelyn,b,residence,1086,1675,N/A,1675,شاهين احمد اغا,Shāhīn Aḥmad Aghā,Shahin Ahmad Agha,30.039648,31.254814,6F,21,I,O-7,115,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument328
329,Muhammad Mustafa al-Muhasibgi,سبيل محمد مصطفى المحاسبجى,Muḥammad Muṣṭafā al-Muḥāsibgī,Muhammad Effendi al-Muhasibgi bin Mustafa Effendi,N/A,N/A,,sabil kuttab,1129,1716,N/A,1716,محمد مصطفى المحاسبجى,Muḥammad Muṣṭafā al-Muḥāsibjī,Muhammad Mustafa al-Muhasibi,30.040867,31.254157,6F,28,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument329
330,Malika Safiya,بوابة الملكة صفية,Malika Ṣafīya,"Uthman Agha, chief black eunuch of Malika Safiya, Venetian wife of Sultan Murad III, mother of Mehmed  III",N/A,N/A,,bab,1019,1610,N/A,1610,الملكة صفية,al-Malika Safīya,al-Malika Safiya,30.040693,31.254699,6F,21,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument330
331,Ibrahim Bey al-Kabir,سبيل ابراهيم بك الكبير,Ibrāhīm Bey al-Kabīr,Ibrahim Katkhuda Mustahfizan,N/A,Ecole,,sabil kuttab,1167,1753,N/A,1753,ابراهيم بك الكبير,Ibrāhīm Bak Kabīr,Ibrahim Bak Kabir,30.042278,31.253584,6F,28,I,N-8,173',https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument331
332,al-Gulshani,باب وتكية وقبة الكلشنى,al-Ghulshānī,"Ibrahim al-Gulshani, Sufi Sheikh, born in Azerbaijan",جامع الجلشاني,Gâma’ el-Goulchâny ,a,mausoleum,926-31,1519-24,1519-24,1519,الكلشنى,al-Kulshanī,al-Kulshani,30.042879,31.256567,5G,21,VIII,M-7,348,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument332
332,al-Gulshani,باب وتكية وقبة الكلشنى,al-Ghulshānī,"Ibrahim al-Gulshani, Sufi Sheikh, born in Azerbaijan",جامع الجلشاني,Gâma’ el-Goulchâny ,b,sabil,926-31,1519-24,1519-24,1519,الكلشنى,al-Kulshanī,al-Kulshani,30.042879,31.256567,5G,21,VIII,M-7,348,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument332
332,al-Gulshani,باب وتكية وقبة الكلشنى,al-Ghulshānī,"Ibrahim al-Gulshani, Sufi Sheikh, born in Azerbaijan",جامع الجلشاني,Gâma’ el-Goulchâny ,c,mosque,926-31,1519-24,1519-24,1519,الكلشنى,al-Kulshanī,al-Kulshani,30.043082,31.256667,5G,21,VIII,M-7,348,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument332
333,Sayyida 'Atika (and Muhammad al-Ga'fari),قبتا السيدة عاتكة والجعفرى,Sayyida ʻĀtika / Muḥammad al-Gaʻfarī,N/A,N/A,N/A,a,mausoleum,514-19,1120-25,1100-22,1120,السيدة عاتكة والجعفرى,al-Sayyida ʻĀtika / al-Jaʻfarī,al-Sayyida Atika / al-Jafari,30.025864,31.251733,9F,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument333
333,(Sayyida 'Atika and) Muhammad al-Ga'fari,قبتا السيدة عاتكة والجعفرى,Sayyida ʻĀtika / Muḥammad al-Gaʻfarī,N/A,N/A,N/A,b,mausoleum,514-19,1120-25,1100-22,1120,السيدة عاتكة والجعفرى,al-Sayyida ʻĀtika / al-Jaʻfarī,al-Sayyida Atika / al-Jafari,30.02582,31.251751,9F,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument333
334,Manawi,منزل وقف مناوي,Manāwī,Ahmad Katkhuda Mustahfizan,N/A,N/A,,residence,N/A,N/A,N/A,1755,أحمد كتخدا مستحفظان,Aḥmad Katkhdā Mustḥfiẓān,Ahmad Katkhda Mustahfizan,30.038497,31.255747,N/A,22,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument334
335,Abbas  Agha/'Ali Katkhuda 'Azaban,سبيل عباس اغا,ʻAbbās Āghā (ʻAlī Katkhudā ʻAzabān),"Ali Katkhda 'Azaban, restored Ottoman eunuch 'Abbas Agha in 1677",N/A,Ecole,,sabil kuttab,1088,1677,N/A,1677,عباس اغا,ʻAbbās Aghā,Abbas Agha,30.031454,31.251643,8F,23,I,T-8,121',https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument335
336,Muhammad Ibn Suwaydan,منزل على باشا برهام,,N/A,N/A,N/A,,residence,N/A,N/A,N/A,1618,على باشا برهام,ʻAlī Bāshā Ibrāhīm,Ali Basha Ibrahim,30.046634,31.256371,N/A,27,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument336
337,Ruqayya Dudu/Bint Badawiya Shahim,سبيل رقية دودو,Ruqayya Dūdū (Bint Badawīya Shāhīn),"Badawiya Shahin, for daughter's memory, Ruqayya Dudu",سبيل سيد البدويه,Sibyl Sitty el-Bedaouyeh ,,sabil kuttab,1174,1761,N/A,1761,رقية دودو بنت بدوية شاهين,Ruqayya Dūdū bint Badawīya Shāhīn,Ryqayya Dudu bint Badawiya Shahin,30.035901,31.257592,7G,15,VIII,Q-6,151,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument337
338,Mahmud Sami al-Barudi (1839-1904),منزل محمود سامى البارودى ( الست حفيظة ),,N/A,N/A,N/A,,residence,N/A,N/A,N/A,19c.,محمود سامى البارودى ( الست حفيظة ),Maḥmūd Sāmī al-Bārūdī,Mahmud Sami al-Barudi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument338
339,Gamal al-Din moved to No.339 in 1952,منزل السحيمى,,N/A,الشيخ الأصفر,El-Cheykh el-Asfar,a,mausoleum,1058-1211,1648-1796,N/A,1408,عبد الوهاب الطبلاوي,Abd al-Wahhāb al-Ṭablāwī,Abd al-Wahhab al-Tablawi,30.052593,31.262595,4H,19,VII,G-5,330,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument339
339,as-Sihaymi,منزل السحيمى,as-Sihaymī,"Shaykh al-Tablawi, 17c.",الشيخ الأصفر,El-Cheykh el-Asfar,b,residence,1058-1211,1648-1796,"1648, 1796",1684,عبد الوهاب الطبلاوي,Abd al-Wahhāb al-Ṭablāwī,Abd al-Wahhab al-Tablawi,30.052197,31.26259,3H,18,VII,G-5,330,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument339
340,Abu'l 'Ila,مسجد السلطان ابى العلا,Abū’l-ʻIlā,N/A,N/A,N/A,a,mausoleum,about 890,1485,1485,1485,السلطان ابى العلا,al-Sulṭān Abū al-ʻAlā,al-Sultan Abu al-Ala,30.056352,31.229955,2B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument340
340,Abu'l 'Ila,مسجد السلطان ابى العلا,Abū’l-ʻIlā,N/A,N/A,N/A,b,minaret,about 890,1485,1485,1485,السلطان ابى العلا,al-Sulṭān Abū al-ʻAlā,al-Sultan Abu al-Ala,30.056446,31.230013,2B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument340
340,Abu'l 'Ila,مسجد السلطان ابى العلا,Abū’l-ʻIlā,N/A,N/A,N/A,c,mosque,about 890,1485,1485,1485,السلطان ابى العلا,al-Sulṭān Abū al-ʻAlā,al-Sultan Abu al-Ala,30.056292,31.229761,2B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument340
340,Abu'l 'Ila,مسجد السلطان ابى العلا,Abū’l-ʻIlā,N/A,N/A,N/A,d,sabil kuttab,about 890,1485,1485,1485,السلطان ابى العلا,al-Sulṭān Abū al-ʻAlā,al-Sultan Abu al-Ala,30.056514,31.229822,2B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument340
341,al-Khatiri,مئذنة وبقايا مسجد الخطيرى,al-Khaṭīrī,Izz al-Din al-Khatiri,N/A,N/A,a,mosque,737,1336,1336-7,1336,الخطيرى,al-Khaṭīrī,al-Khatiri,30.057298,31.229066,2A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument341
341,al-Khatiri,مئذنة وبقايا مسجد الخطيرى,al-Khaṭīrī,Izz al-Din al-Khatiri,N/A,N/A,b,minaret,737,1336,N/A,1336,الخطيرى,al-Khaṭīrī,al-Khatiri,N/A,N/A,2A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument341
341,al-Khatiri,مئذنة وبقايا مسجد الخطيرى,al-Khaṭīrī,Izz al-Din al-Khatiri,N/A,N/A,c,mausoleum,737,1336,N/A,1336,الخطيرى,al-Khaṭīrī,al-Khatiri,N/A,N/A,2A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument341
342,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument342
343,Mustafa Shurbagi Mirza,مسجد مصطفى جوربجى ميرزا,Muṣṭafā Shurbagī Mirzā,Amir Mustafa Gurbagi Mirza,N/A,N/A,a,minaret,1110,1698,N/A,1698,مصطفى جوربجى ميرزا,Muṣṭafā Jūrbajī Mīrzā,Mustafa Jurbaji Mirza,30.059737,31.230434,2B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument343
343,Mustafa Shurbagi Mirza,مسجد مصطفى جوربجى ميرزا,Muṣṭafā Shurbagī Mirzā,Amir Mustafa Gurbagi Mirza,N/A,N/A,b,mosque,1110,1698,N/A,1698,مصطفى جوربجى ميرزا,Muṣṭafā Jūrbajī Mīrzā,Mustafa Jurbaji Mirza,30.059807,31.230573,2B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument343
344,al-Qadi Yahya at Bulaq,مسجد القاضى يحيى ( بولاق ),al-Qāḍī Yaḥyā,N/A,N/A,N/A,a,mosque,852-53,1448-49,1448-9,1448/9,القاضى يحيى,al-Qāḍī Yaḥyā,al-Qadi Yahya ,30.06126,31.230042,1B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument344
